Student_ID,Gender,Age,Department,Year,Attendance_Percentage,Study_Hours_Per_Day,Internet_Usage_Hours,Assignments_Completed,Sports_Participation,Hostel_Resident,Family_Income_Level,Exam_Score,CGPA
STU10058,Male,24,CE,4,78.9,0.5,2.9,1,No,No,Low,52.1,4.93
STU10059,Male,17,BBA,4,84.5,3.3,1.2,4,Yes,Yes,Medium,81.0,8.19
STU10060,Male,21,ME,2,88.4,1.6,3.9,8,Yes,Yes,Medium,79.4,7.1
STU10061,Male,20,ECE,2,76.5,1.6,7.0,0,No,No,Medium,46.7,5.03
STU10062,Male,18,ECE,4,87.1,5.1,3.3,3,No,Yes,Medium,89.4,8.17
STU10063,Male,24,ME,3,100.0,0.9,3.5,9,No,No,High,77.1,7.69
STU10064,Male,19,ME,3,85.7,3.7,6.9,6,Yes,No,High,93.6,8.84
STU10065,Female,20,BBA,3,96.1,3.4,4.0,10,Yes,No,Low,93.8,9.55
STU10066,Female,23,ECE,2,84.8,3.6,1.6,9,No,Yes,Low,100.0,9.91
STU10067,Male,25,ME,2,70.7,5.6,5.4,2,No,No,Low,89.0,8.79
STU10068,Female,18,ME,4,82.8,2.3,6.2,7,Yes,No,Medium,83.8,8.35
STU10069,Female,19,BBA,1,76.7,5.6,3.6,2,Yes,No,Medium,100.0,10.0
STU10070,Female,20,BBA,2,74.0,0.9,4.3,7,No,Yes,Medium,75.7,8.27
STU10071,Female,17,CE,4,79.3,4.5,1.4,1,No,Yes,High,93.5,9.59
STU10072,Male,23,BBA,4,78.5,5.7,2.3,4,No,Yes,Medium,83.2,7.98
STU10073,Female,18,CSE,1,69.4,0.5,3.3,3,Yes,No,Medium,46.2,4.32
STU10074,Male,21,ECE,3,100.0,3.4,4.2,10,Yes,No,Medium,98.8,10.0
STU10075,Female,17,CE,4,88.1,3.3,2.8,8,Yes,No,Medium,99.7,9.43
STU10076,Female,19,CSE,4,82.4,3.6,3.3,2,Yes,No,Medium,69.3,6.94
STU10077,Female,18,ME,4,80.9,6.1,3.8,10,No,No,High,100.0,9.16
STU10078,Male,17,ME,3,92.0,2.4,2.0,4,Yes,Yes,Medium,65.0,6.44
STU10079,Female,23,CE,3,100.0,1.7,3.5,9,No,No,High,86.2,8.07
STU10080,Male,21,BBA,1,86.9,3.6,6.3,8,No,No,Medium,91.3,8.81
STU10081,Female,17,ME,2,81.2,5.2,2.8,5,Yes,No,Low,97.1,9.8
STU10082,Male,22,EEE,3,94.7,4.3,2.2,1,No,Yes,High,78.4,8.14
STU10083,Female,21,CE,2,81.4,3.6,8.2,0,No,No,Medium,72.2,6.86
STU10084,Male,19,CSE,2,84.4,3.2,4.5,10,No,Yes,Medium,97.9,10.0
STU10085,Male,23,CE,3,90.0,0.5,2.5,0,Yes,Yes,Medium,62.2,5.63
STU10086,Female,25,ECE,4,76.1,4.4,5.3,6,Yes,No,Medium,92.5,9.64
STU10087,Male,25,BBA,1,59.2,4.6,4.5,1,Yes,Yes,Medium,83.7,8.16
STU10088,Female,25,BBA,2,75.6,2.5,2.9,6,Yes,No,High,85.5,9.03
STU10089,Female,18,CE,4,87.7,2.8,3.9,0,Yes,Yes,High,88.4,8.63
STU10090,Female,19,ME,3,87.0,1.9,3.4,3,No,No,Medium,76.5,7.3
STU10091,Female,23,ME,2,93.4,4.8,6.0,9,Yes,No,Medium,100.0,10.0
STU10092,Female,21,EEE,2,76.0,3.0,5.4,10,No,No,High,87.8,9.0
STU10093,Female,18,EEE,2,95.8,3.3,0.5,3,No,No,Medium,82.2,7.95
STU10094,Female,19,BBA,4,81.9,4.4,7.8,4,No,No,Medium,76.1,7.88
STU10095,Female,22,EEE,4,86.0,4.0,3.4,9,Yes,No,Low,90.3,8.96
STU10096,Female,23,CSE,4,89.0,4.3,7.4,0,Yes,Yes,Medium,88.3,8.9
STU10097,Female,25,EEE,2,66.2,3.8,5.4,6,No,Yes,Low,71.8,7.35
STU10098,Female,17,CSE,2,70.0,3.8,4.5,10,Yes,No,Low,100.0,9.3
STU10099,Male,23,EEE,1,69.6,3.8,3.8,1,No,No,High,72.5,7.25
STU10100,Male,24,BBA,1,90.7,4.2,9.5,10,No,No,Medium,91.9,8.46
STU10101,Female,19,BBA,4,76.9,4.3,3.5,10,No,Yes,High,94.7,8.95
STU10102,Female,20,CSE,4,100.0,1.7,2.7,1,No,Yes,Medium,75.2,7.47
STU10103,Female,22,CE,3,80.0,2.6,2.8,7,Yes,Yes,Medium,83.7,8.86
STU10104,Female,23,BBA,4,65.3,3.2,4.0,8,No,No,Low,100.0,9.88
STU10105,Female,20,CE,1,73.3,4.2,4.0,5,Yes,Yes,High,89.1,8.73
STU10106,Female,24,ME,1,81.2,5.9,6.0,10,No,Yes,Low,100.0,9.77
STU10107,Female,21,CSE,1,85.2,2.3,5.5,0,Yes,Yes,Medium,72.9,7.49
STU10108,Female,17,BBA,2,70.2,4.8,5.5,0,Yes,No,Low,79.1,7.35
STU10109,Male,20,ECE,2,85.7,2.6,3.5,10,Yes,No,Low,88.2,8.12
STU10110,Female,19,ME,4,88.4,5.6,5.4,6,No,No,Low,98.5,10.0
STU10111,Male,25,CE,3,73.6,6.4,5.6,7,No,Yes,Medium,100.0,10.0
STU10112,Female,24,BBA,3,99.7,0.9,3.8,2,No,Yes,High,68.0,6.45
STU10113,Female,17,CSE,3,74.7,3.0,4.6,8,Yes,No,Medium,96.0,9.28
STU10114,Male,22,EEE,2,70.0,0.5,5.6,3,No,No,Medium,71.7,6.89
STU10115,Female,25,ECE,1,64.7,1.0,4.4,3,Yes,No,High,54.5,4.8
STU10116,Male,23,CE,1,92.2,1.1,4.6,2,Yes,No,Medium,75.7,7.41
STU10117,Female,20,ME,2,80.2,4.4,6.8,7,No,No,High,91.9,9.2
STU10118,Female,17,CSE,3,75.2,4.2,4.4,8,No,Yes,Medium,89.6,9.64
STU10119,Male,18,ECE,3,65.3,4.7,2.8,0,Yes,Yes,High,82.2,8.27
STU10120,Female,21,CSE,4,76.1,4.4,1.3,1,No,Yes,Medium,81.5,8.52
STU10121,Male,21,BBA,4,100.0,4.2,4.2,0,No,No,Low,73.8,7.23
STU10122,Female,24,EEE,3,58.6,3.7,3.3,3,No,No,Low,82.7,8.04
STU10123,Male,22,ME,2,73.7,3.3,5.6,9,No,No,Low,88.6,8.86
STU10124,Male,24,CSE,3,97.9,5.0,7.2,6,No,Yes,Medium,100.0,10.0
STU10125,Female,18,CE,4,92.5,3.5,1.9,6,No,No,High,87.9,8.49
STU10126,Female,19,BBA,3,74.3,4.3,2.2,5,Yes,No,Medium,92.8,9.39
STU10127,Male,22,BBA,2,82.0,0.5,4.0,10,Yes,No,High,86.5,8.75
STU10128,Female,19,ME,1,84.6,1.7,2.4,4,Yes,No,Medium,83.0,8.29
STU10129,Female,22,BBA,2,81.3,5.0,3.6,10,No,No,Medium,96.4,10.0
STU10130,Female,22,CE,2,97.8,2.5,2.9,3,No,Yes,Low,92.7,9.29
STU10131,Male,18,CSE,4,83.4,1.4,2.0,7,No,No,Medium,76.5,7.58
STU10132,Male,23,ME,2,91.4,4.5,5.7,6,No,Yes,Medium,83.2,8.29
STU10133,Male,18,BBA,2,81.8,3.5,4.2,10,Yes,No,High,95.3,8.47
STU10134,Male,22,BBA,4,59.7,2.9,7.7,10,Yes,Yes,Medium,85.0,8.42
STU10135,Male,17,CE,4,68.1,5.8,4.7,9,Yes,Yes,Medium,96.0,9.07
STU10136,Male,19,EEE,1,70.2,5.5,6.6,0,No,Yes,Low,82.0,8.1
STU10137,Male,18,EEE,3,77.5,3.2,2.5,5,Yes,Yes,Medium,87.5,8.74
STU10138,Male,23,BBA,2,100.0,4.6,2.5,1,Yes,Yes,High,87.7,9.0
STU10139,Male,20,CSE,4,83.6,0.5,8.4,3,Yes,No,Medium,75.9,8.6
STU10140,Female,24,ME,1,78.9,5.1,2.8,4,Yes,Yes,Low,88.3,9.5
STU10141,Male,22,BBA,3,92.4,1.9,2.1,7,Yes,No,Medium,85.4,8.53
STU10142,Female,20,ECE,4,65.5,1.3,1.7,5,Yes,Yes,Medium,71.6,7.44
STU10143,Female,21,ME,3,75.1,0.8,7.8,10,No,No,Medium,93.9,9.19
STU10144,Female,25,EEE,3,73.6,0.7,3.5,1,Yes,Yes,Medium,52.1,5.31
STU10145,Male,23,BBA,2,84.0,5.1,4.8,4,No,Yes,High,85.8,8.69
STU10146,Male,25,CE,2,89.0,4.4,4.3,4,Yes,Yes,Medium,100.0,9.51
STU10147,Male,23,ECE,4,84.7,2.4,2.6,5,No,No,Low,77.2,7.49
STU10148,Male,17,BBA,3,84.9,4.8,3.4,0,No,Yes,Medium,68.4,5.99
STU10149,Female,24,CSE,4,76.4,2.6,5.7,7,No,No,Medium,98.2,9.73
STU10150,Male,20,ECE,4,83.2,4.0,1.5,2,No,No,High,72.9,7.27
STU10151,Male,19,BBA,3,71.6,2.8,5.3,4,No,No,Medium,77.1,7.67
STU10152,Male,23,CSE,4,86.7,3.3,6.9,6,No,No,Low,94.5,8.95
STU10153,Male,19,ECE,3,75.0,2.1,4.6,2,No,No,Low,76.7,7.63
STU10154,Male,24,CSE,3,68.8,2.4,6.7,9,No,No,Low,76.8,7.76
STU10155,Female,22,CSE,3,80.4,4.3,1.3,5,Yes,Yes,High,100.0,10.0
STU10156,Male,21,ECE,3,60.9,4.6,0.5,4,No,No,Medium,87.4,8.87
STU10157,Female,20,ECE,1,94.7,2.9,4.5,6,No,Yes,High,85.1,8.35
STU10158,Male,24,CSE,3,88.0,1.2,2.8,9,Yes,No,Medium,73.6,7.29
STU10159,Female,24,EEE,2,83.4,7.2,5.8,10,No,No,Medium,100.0,10.0
STU10160,Male,17,ECE,2,63.8,3.6,3.4,2,No,No,High,86.8,8.47
STU10161,Male,25,BBA,2,73.0,4.0,4.3,1,No,No,Medium,74.3,7.0
STU10162,Female,21,ME,3,80.4,1.6,4.2,3,No,Yes,Low,56.1,5.42
STU10163,Female,20,CE,2,77.4,5.3,4.2,2,Yes,Yes,Medium,80.3,8.22
STU10164,Female,22,CSE,1,63.1,5.6,2.9,3,Yes,No,Low,84.0,8.76
STU10165,Male,22,CSE,4,66.8,0.9,1.3,6,No,No,High,57.7,6.24
STU10166,Female,18,CE,3,77.2,3.3,3.6,4,Yes,Yes,High,84.1,7.99
STU10167,Male,24,EEE,2,67.2,3.2,6.9,3,Yes,No,High,81.3,9.09
STU10168,Male,23,CE,1,93.7,7.1,2.8,5,No,No,High,98.5,9.5
STU10169,Female,17,ECE,4,84.9,5.7,2.8,6,Yes,No,Medium,100.0,9.89
STU10170,Female,21,CE,1,72.0,1.3,4.3,10,Yes,No,Medium,73.6,7.95
STU10171,Male,22,CSE,2,91.7,2.4,1.6,4,Yes,No,Low,67.7,5.94
STU10172,Male,20,CE,1,89.7,2.2,6.0,6,No,No,Medium,72.5,7.32
STU10173,Female,18,ME,4,82.9,4.1,1.8,2,Yes,No,Low,74.5,7.31
STU10174,Female,20,BBA,2,79.6,5.9,3.4,6,Yes,No,High,100.0,9.3
STU10175,Female,17,ECE,4,77.0,3.7,9.1,2,No,No,High,82.4,7.55
STU10176,Male,23,CE,1,74.6,4.3,1.7,5,Yes,No,Low,79.1,8.47
STU10177,Male,18,CSE,3,66.6,2.5,6.9,7,No,Yes,Low,74.4,7.7
STU10178,Male,18,BBA,3,95.3,4.2,4.2,5,Yes,No,Medium,100.0,10.0
STU10179,Male,25,ECE,3,74.8,2.8,4.5,9,No,No,Medium,93.5,8.83
STU10180,Male,21,CSE,3,80.3,1.0,2.4,10,No,No,Medium,69.8,7.12
STU10181,Male,18,EEE,4,70.9,4.1,5.6,2,No,Yes,Medium,89.3,10.0
STU10182,Female,25,ME,3,77.4,3.5,3.3,4,Yes,No,High,99.0,9.78
STU10183,Male,25,EEE,4,100.0,1.9,1.7,8,Yes,No,Low,85.3,8.56
STU10184,Male,17,ME,2,72.7,6.0,6.9,7,No,No,Medium,96.1,9.62
STU10185,Male,19,CE,3,94.5,2.4,3.2,5,Yes,Yes,Medium,77.5,7.7
STU10186,Female,20,ECE,4,79.7,4.4,0.5,8,No,Yes,Low,91.5,8.76
STU10187,Male,23,CE,3,86.8,3.0,3.5,1,Yes,No,Medium,80.5,8.07
STU10188,Male,20,ME,3,92.4,5.8,5.6,10,No,No,High,100.0,10.0
STU10189,Female,18,ME,3,82.7,3.1,5.3,8,No,No,High,94.2,9.39
STU10190,Male,23,ME,4,76.5,1.0,2.7,9,No,Yes,Medium,78.3,8.44
STU10191,Male,22,BBA,1,78.1,4.7,2.0,9,Yes,No,High,92.4,10.0
STU10192,Male,19,CSE,3,78.5,5.8,1.3,5,Yes,No,Low,97.6,9.35
STU10193,Male,22,ECE,3,98.6,2.9,4.0,8,No,Yes,High,88.5,9.12
STU10194,Male,22,CE,2,65.2,4.5,4.3,3,No,Yes,Low,76.4,7.06
STU10195,Female,21,CE,1,62.3,3.7,5.4,4,Yes,No,Medium,78.7,7.8
STU10196,Female,20,EEE,4,63.0,2.9,3.7,1,No,No,Low,69.0,8.15
STU10197,Female,17,ME,2,71.1,4.8,3.6,2,Yes,No,High,78.4,8.16
STU10198,Male,22,ME,3,87.0,2.3,3.4,0,No,No,Low,62.4,6.39
STU10199,Male,18,ME,2,87.6,3.5,4.3,3,Yes,Yes,Low,81.7,7.58
STU10200,Male,19,CE,2,73.9,3.9,3.7,1,No,No,Medium,77.9,7.49
STU10201,Female,24,EEE,3,79.7,3.8,5.9,1,No,No,Low,80.1,7.59
STU10202,Male,22,CSE,1,68.8,2.3,4.6,0,No,Yes,Low,68.2,6.31
STU10203,Male,19,BBA,1,69.8,6.6,4.2,9,No,No,Medium,100.0,10.0
STU10204,Female,23,ECE,2,85.8,5.4,3.9,1,Yes,No,Low,77.5,8.09
STU10205,Male,20,CSE,3,90.5,5.0,2.1,3,No,No,Low,100.0,9.92
STU10206,Female,25,CE,4,75.2,5.6,4.0,5,No,No,Low,82.3,7.96
STU10207,Female,21,BBA,2,96.4,3.6,2.7,6,No,No,Low,99.3,10.0
STU10208,Female,19,BBA,4,89.7,2.9,4.7,6,No,No,Medium,88.5,9.69
STU10209,Male,18,BBA,2,95.9,1.9,3.6,6,No,No,Medium,76.6,8.16
STU10210,Male,18,ME,2,77.0,2.4,7.3,3,Yes,Yes,Medium,54.0,5.45
STU10211,Male,19,ECE,3,95.2,2.0,1.5,4,No,No,Low,65.1,6.97
STU10212,Male,18,CE,3,100.0,2.7,0.5,10,Yes,Yes,Medium,88.4,9.32
STU10213,Male,20,CE,4,75.9,3.9,4.5,2,Yes,No,Medium,82.2,8.3
STU10214,Male,18,BBA,4,78.5,4.9,2.7,0,No,No,Medium,75.9,7.67
STU10215,Male,25,CE,1,70.5,4.8,4.3,7,Yes,Yes,Medium,91.8,8.92
STU10216,Female,18,ECE,3,68.6,1.7,1.5,9,Yes,Yes,Low,76.7,8.08
STU10217,Male,25,ECE,2,68.7,4.5,7.8,10,Yes,No,Low,97.6,9.68
STU10218,Female,22,EEE,2,71.9,5.2,3.2,6,Yes,Yes,Medium,81.3,7.64
STU10219,Male,17,EEE,1,82.7,3.1,2.6,8,No,Yes,Low,85.9,8.12
STU10220,Male,20,CSE,3,72.3,5.3,7.8,9,No,No,Medium,100.0,9.98
STU10221,Male,17,ECE,2,82.4,4.8,5.7,3,Yes,No,Medium,100.0,9.53
STU10222,Female,22,ECE,1,82.6,1.6,6.8,4,No,No,High,79.3,9.29
STU10223,Female,20,ECE,1,75.3,6.8,3.7,4,No,No,Medium,95.6,9.8
STU10224,Female,19,EEE,2,79.4,2.4,4.1,6,Yes,No,Medium,74.8,7.23
STU10225,Female,19,BBA,2,74.7,4.9,2.8,8,No,Yes,Medium,99.1,10.0
STU10226,Male,25,BBA,4,76.9,4.9,2.6,7,Yes,No,Low,87.2,9.09
STU10227,Female,22,CE,3,71.9,1.7,4.8,6,No,No,Medium,76.0,7.71
STU10228,Male,25,BBA,4,80.8,3.8,3.3,0,Yes,No,Medium,77.7,7.29
STU10229,Male,21,ME,1,74.0,4.9,8.4,9,Yes,No,Medium,95.7,9.52
STU10230,Female,18,EEE,2,68.3,1.6,5.7,5,Yes,Yes,High,79.4,7.82
STU10231,Female,24,ECE,4,85.9,3.6,7.8,9,Yes,No,Low,92.4,9.01
STU10232,Female,21,BBA,1,86.3,5.0,0.5,8,No,No,Low,94.7,9.06
STU10233,Female,18,EEE,3,91.1,5.1,7.8,6,Yes,No,Medium,91.6,9.6
STU10234,Female,20,BBA,2,69.8,2.9,0.5,0,Yes,Yes,Medium,58.1,6.05
STU10235,Female,25,CSE,4,75.2,5.8,1.5,8,No,No,Low,88.7,9.1
STU10236,Female,20,ECE,3,82.3,5.5,0.5,2,No,Yes,Medium,92.8,8.35
STU10237,Female,20,CSE,4,75.0,3.9,4.5,8,Yes,No,Medium,100.0,9.8
STU10238,Male,18,ECE,1,85.7,2.5,4.0,3,No,Yes,Medium,92.8,9.9
STU10239,Female,22,EEE,3,85.0,1.8,5.6,8,Yes,No,Low,90.9,9.29
STU10240,Female,18,CE,4,84.8,4.1,3.8,7,No,No,Medium,95.6,8.98
STU10241,Male,23,BBA,3,94.6,5.7,6.5,6,Yes,Yes,Medium,100.0,10.0
STU10242,Female,19,BBA,1,86.4,3.3,2.1,3,No,No,High,90.3,7.82
STU10243,Male,19,ME,3,81.5,2.2,6.5,8,No,Yes,High,80.4,8.1
STU10244,Male,21,CSE,4,78.1,4.7,3.9,3,Yes,No,Medium,99.5,10.0
STU10245,Female,19,BBA,1,78.8,3.8,8.7,0,No,No,Medium,74.4,6.66
STU10246,Male,18,EEE,2,69.4,4.3,5.7,5,No,Yes,Medium,87.5,8.51
STU10247,Male,25,CE,4,62.3,2.7,3.4,3,No,No,Low,72.2,6.52
STU10248,Male,18,EEE,4,84.6,2.9,3.9,9,No,No,Low,98.4,10.0
STU10249,Male,18,CSE,1,92.2,2.7,2.0,2,No,Yes,Low,75.8,7.17
STU10250,Female,24,ME,1,76.7,4.2,4.7,4,No,No,Medium,87.6,9.26
STU10251,Male,25,BBA,2,95.9,3.0,3.4,2,No,No,Medium,68.4,7.53
STU10252,Female,23,EEE,4,78.2,4.4,5.4,10,No,Yes,Low,96.1,8.97
STU10253,Male,19,ECE,1,60.5,2.6,1.3,8,Yes,No,Medium,89.5,8.2
STU10254,Male,25,CE,2,89.2,4.2,3.3,5,No,No,Medium,82.1,8.45
STU10255,Male,19,EEE,2,75.2,4.6,1.7,2,No,Yes,Medium,81.8,8.57
STU10256,Male,21,CE,1,90.1,4.0,1.8,4,No,Yes,Medium,85.7,8.53
STU10257,Female,25,BBA,4,67.2,4.9,5.2,7,No,No,Low,87.3,8.74
STU10258,Female,19,ECE,3,84.1,2.8,6.2,7,Yes,No,Low,93.0,10.0
STU10259,Male,23,ME,3,72.0,4.5,0.5,5,No,No,High,90.9,8.97
STU10260,Male,17,ME,2,82.0,3.9,7.7,4,No,No,Low,91.1,9.8
STU10261,Female,20,ECE,3,87.7,2.3,6.8,4,No,No,Medium,85.5,8.26
STU10262,Male,20,CE,3,85.3,0.6,1.3,0,No,No,Medium,60.3,7.23
STU10263,Male,23,BBA,1,80.7,1.0,5.7,1,No,No,High,75.7,7.13
STU10264,Male,24,EEE,2,66.2,0.5,3.1,10,Yes,No,Medium,66.0,7.19
STU10265,Female,17,ECE,4,87.3,4.1,3.8,3,No,No,Medium,82.8,7.8
STU10266,Female,21,CSE,2,90.3,3.0,5.2,5,No,No,Medium,84.3,8.82
STU10267,Female,23,CE,1,69.6,3.6,5.0,10,Yes,No,High,78.0,7.8
STU10268,Male,20,ME,3,71.0,3.2,2.9,6,Yes,Yes,Medium,93.5,9.49
STU10269,Male,20,ECE,4,90.7,4.4,2.8,0,No,Yes,Low,73.2,7.65
STU10270,Female,20,ME,2,77.9,4.4,3.0,7,No,No,Medium,92.1,9.33
STU10271,Female,22,CE,3,71.3,3.6,6.3,0,No,No,Medium,78.3,7.91
STU10272,Female,23,ME,2,82.7,3.7,0.5,8,No,Yes,Low,100.0,9.07
STU10273,Female,18,ECE,4,73.6,3.7,3.7,3,Yes,No,Medium,65.9,7.28
STU10274,Male,21,CE,2,81.6,5.6,7.1,6,No,No,Medium,100.0,10.0
STU10275,Female,20,CSE,2,75.9,0.5,5.4,10,Yes,No,Medium,75.5,7.5
STU10276,Male,19,ECE,2,76.7,2.5,6.1,5,No,No,Medium,83.0,8.58
STU10277,Female,23,EEE,3,91.1,4.8,3.7,8,Yes,No,Medium,100.0,10.0
STU10278,Male,22,BBA,4,55.3,5.2,1.7,1,Yes,Yes,Medium,82.4,8.54
STU10279,Female,23,ECE,4,85.5,4.1,4.1,10,No,No,Medium,98.2,9.55
STU10280,Female,21,CE,3,89.5,3.2,2.6,6,Yes,No,Medium,77.4,7.14
STU10281,Female,22,BBA,3,73.8,6.3,8.5,10,No,No,Low,98.4,10.0
STU10282,Female,21,ECE,3,89.4,3.8,3.7,4,Yes,No,Low,91.3,9.2
STU10283,Male,23,CSE,1,70.4,3.5,5.3,6,Yes,Yes,High,76.7,7.67
STU10284,Female,18,CSE,2,73.4,5.5,7.4,0,Yes,No,High,85.6,8.18
STU10285,Male,21,EEE,2,72.2,4.2,1.8,10,No,No,Low,100.0,9.83
STU10286,Male,22,ME,4,89.5,4.9,0.5,10,Yes,No,Medium,92.0,9.37
STU10287,Male,22,BBA,2,62.6,5.1,5.0,9,Yes,Yes,High,100.0,9.85
STU10288,Male,21,CE,1,96.4,2.9,5.4,8,No,No,Low,100.0,10.0
STU10289,Female,23,CE,3,77.0,6.2,3.2,0,Yes,Yes,Medium,89.1,8.89
STU10290,Male,24,ME,4,86.1,0.5,1.7,4,Yes,No,Low,62.8,6.61
STU10291,Male,23,CSE,4,85.3,0.5,4.6,7,No,No,Medium,77.8,7.06
STU10292,Male,21,CSE,2,81.5,2.5,4.0,0,Yes,No,High,67.4,6.56
STU10293,Female,17,ECE,4,74.0,2.9,4.6,6,Yes,No,High,75.6,7.01
STU10294,Female,21,EEE,3,92.4,4.0,1.7,1,No,No,Medium,81.6,8.24
STU10295,Female,18,BBA,4,74.9,2.5,4.6,6,No,Yes,Medium,72.5,6.84
